ActionId,MeetingId,MeetingDate,ProjectName,MeetingType,Sequence,Kind,ReferenceCode,AmountUSD,RawText
255,136,2026-01-21,BERT Rail Trail,Regular Council Meeting,0,Other,,,Meeting Cancelled
164,129,2025-12-03,BERT Rail Trail,Regular Council Meeting,5,Adopted Ordinance,2025-13,,Adopted Ordinance No. 2025-13.
163,129,2025-12-03,BERT Rail Trail,Regular Council Meeting,4,Adopted Ordinance,2025-16,,Adopted Ordinance No. 2025-16 on first reading and to schedule a second reading and
162,129,2025-12-03,BERT Rail Trail,Regular Council Meeting,3,Adopted Resolution,2025-25,,Adopted Resolution No. 2025-25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process.
161,129,2025-12-03,BERT Rail Trail,Regular Council Meeting,2,Adopted Resolution,2025-24,,Adopted Resolution No 2025-24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process.
160,129,2025-12-03,BERT Rail Trail,Regular Council Meeting,1,Adopted Resolution,2025-28,,Adopted Resolution No. 2025-28.
159,129,2025-12-03,BERT Rail Trail,Regular Council Meeting,0,Adopted Resolution,2025-27,,Adopted Resolution No. 2025-27.
248,77,2025-07-02,BERT Rail Trail,Regular Council Meeting,2,Passed Ordinance,2025-07,,Passed first reading of Ordinance No. 2025-07 and set second reading and
247,77,2025-07-02,BERT Rail Trail,Regular Council Meeting,1,Adopted Resolution,2025-11,,Adopted Resolution No. 2025-11.
246,77,2025-07-02,BERT Rail Trail,Regular Council Meeting,0,Adopted Resolution,2025-10,,Adopted Resolution No. 2025-10.
221,68,2025-06-18,BERT Rail Trail,Regular Council Meeting,4,Approved,,,"Approved continuance to July 2 , 2025 for Condition 10 only."
220,68,2025-06-18,BERT Rail Trail,Regular Council Meeting,3,Passed Ordinance,2025-08,,Passed first reading of Ordinance No. 2025-08 and Set
219,68,2025-06-18,BERT Rail Trail,Regular Council Meeting,2,Passed Ordinance,2025-06,,Passed first reading of Ordinance No. 2025-06 and Set
218,68,2025-06-18,BERT Rail Trail,Regular Council Meeting,1,Passed Ordinance,2025-04,,"Passed first reading of Ordinance No. 2025-04 and set second reading for July 2, 2025."
217,68,2025-06-18,BERT Rail Trail,Regular Council Meeting,0,Passed Ordinance,2025-05,,"Passed first reading of Ordinance No. 2025-05 and set second reading for June 18, 2025."
173,51,2025-05-21,BERT Rail Trail,Regular Council Meeting,4,Approved Contract,,9536910.0,"Approved GMP Addendum 2 for contract EC 2024 - 12 CMAR for Wright Construction to complete the site work and utility installation for the Estero Entertainment Campus for $ 9,536,910 and authorize the Village Manager to sign the contract and other additional implementation documents within the scope of the GMP addendum on behalf of the Village of Estero"
172,51,2025-05-21,BERT Rail Trail,Regular Council Meeting,3,Approved,,1432600.0,"Approved awards of landscaping, mowing and irrigation services for Village roadways for Mainscape, Inc., in an amount not to exceed $1,432,600 annually, and to P & T Lawn & Tractor, for an amount not to exceed $581,107 annually. Vote : (Roll Call) Aye:"
171,51,2025-05-21,BERT Rail Trail,Regular Council Meeting,2,Approved,,2896517.52,"Approved the award of landscaping, mowing and irrigation services for Village roadways for P & T Lawn & Tractor, for an amount not to exceed $2,896,517.52 annually, approve a $200,000 Contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the purchase order and other additional implementing documents on behalf of the Village of Estero"
170,51,2025-05-21,BERT Rail Trail,Regular Council Meeting,1,Approved Contract,,430000.0,"Approved the award of Contract 25035 with LandDesign, Inc. to prepare the Village of Estero Eco -Historic planning study for $430,000, approve a $43,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
169,51,2025-05-21,BERT Rail Trail,Regular Council Meeting,0,Approved,,,Approved send ing notification letter and affidavit signed by Mayor to Florida Department of Commerce .
114,34,2025-04-16,BERT Rail Trail,Regular Council Meeting,5,Approved Ordinance,2025-03,,"Approved Ordinance No. 2025-03 on First Reading and schedule Second Reading for April 16, 2025."
113,34,2025-04-16,BERT Rail Trail,Regular Council Meeting,4,Approved Agreement,,,Approved the BERT Memorandum of Agreement and to authorize the Village Manager to approve any minor revisions requested by the other partners to the agreement .
112,34,2025-04-16,BERT Rail Trail,Regular Council Meeting,3,Approved Contract,EC 2022-33,,Approved award of Contract EC 2022-33 Change Order 01 to RWA Engineering to provide additional professional services to update design changes. Vote : (Roll Call) Aye:
111,34,2025-04-16,BERT Rail Trail,Regular Council Meeting,2,Other,,,"A uthorized a deeper solicitation process to search for additional, complimentary sports, entertainment and recreational partners within the Village Center Hub ."
